"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16937-30837","WR","Jordan","","Matthews","11.11111111111111","9","5800","PHI@SEA","PHI","SEA","","","",""
"16937-21971","TE","Coby","","Fleener","7.966666327582465","9","5700","NO@CAR","NO","CAR","","","",""
"16937-6774","WR","Pierre","","Garcon","8.299999660915798","9","5700","GB@WAS","WAS","GB","","","",""
"16937-54782","TE","Cameron","","Brate","9.444444444444445","9","5600","TB@KC","TB","KC","","","",""
"16937-30237","RB","Mike","","Gillislee","7.0444446139865455","9","5600","BUF@CIN","BUF","CIN","","","",""
"16937-8052","RB","Rashad","","Jennings","7.219999694824219","5","5600","CHI@NYG","NYG","CHI","","","",""
"16937-62538","WR","Cameron","","Meredith","8.742857251848493","7","5600","CHI@NYG","CHI","NYG","","","",""
"16937-6641","TE","Jason","","Witten","9.144444783528646","9","5500","BAL@DAL","DAL","BAL","","","",""
"16937-33244","WR","Eli","","Rogers","8.583333333333334","6","5500","PIT@CLE","PIT","CLE","","","",""
"16937-11425","RB","Ryan","","Mathews","11.166666666666666","9","5500","PHI@SEA","PHI","SEA","","","",""
"16937-11500","QB","Colt","","McCoy","8.819999694824219","1","5500","GB@WAS","WAS","GB","","","",""
"16937-8050","TE","Zach","","Miller","9.166666666666666","9","5500","CHI@NYG","CHI","NYG","","","",""
"16937-6808","QB","Matt","","Moore","0.36000001430511475","1","5500","MIA@LA","MIA","LA","","","",""
"16937-7844","QB","Chad","","Henne","0","0","5500","JAC@DET","JAC","DET","","","",""
"16937-11609","RB","James","","Starks","4.820000076293946","5","5500","GB@WAS","GB","WAS","","","",""
"16937-6735","WR","Steve","","Smith Sr.","10.528570992606026","7","5500","BAL@DAL","BAL","DAL","","","",""
"16937-28677","QB","Matt","","McGloin","5.340000152587891","2","5500","HOU@OAK","OAK","HOU","","","",""
"16937-29685","WR","Robert","","Woods","8.912500381469727","8","5400","BUF@CIN","BUF","CIN","","","",""
"16937-25272","TE","Eric","","Ebron","10.016666412353516","6","5400","JAC@DET","DET","JAC","","","",""
"16937-31732","WR","Corey","","Coleman","10.399999618530273","4","5400","PIT@CLE","CLE","PIT","","","",""
"16937-11864","RB","Chris","","Ivory","5.471428462437221","7","5400","JAC@DET","JAC","DET","","","",""
"16937-53681","WR","Tyreek","","Hill","8.666666666666666","9","5400","TB@KC","KC","TB","","","",""
"16937-54687","RB","Charcandrick","","West","4.537499904632568","8","5400","TB@KC","KC","TB","","","",""
"16937-54608","RB","Jerick","","McKinnon","5.275000095367432","8","5400","ARI@MIN","MIN","ARI","","","",""
"16937-31406","RB","Alfred","","Blue","2.3777777353922525","9","5400","HOU@OAK","HOU","OAK","","","",""
"16937-25760","WR","Allen","","Hurns","8.233333163791233","9","5400","JAC@DET","JAC","DET","","","",""
"16937-31061","RB","T.J.","","Yeldon","8.288888719346788","9","5400","JAC@DET","JAC","DET","","","",""
"16937-33766","RB","Rob","","Kelley","5.942856924874442","7","5400","GB@WAS","WAS","GB","","","",""
"16937-22004","TE","Dwayne","","Allen","6.314285823277065","7","5300","TEN@IND","IND","TEN","","","",""
"16937-30244","RB","Matt","","Jones","10.185714721679688","7","5300","GB@WAS","WAS","GB","","","",""
"16937-11495","WR","Brandon","","LaFell","9.449999809265137","8","5300","BUF@CIN","CIN","BUF","","","",""
"16937-24671","WR","Adam","","Humphries","7.255555894639757","9","5300","TB@KC","TB","KC","","","",""
"16937-32243","WR","Marquise","","Goodwin","8.014285496303014","7","5300","BUF@CIN","BUF","CIN","","","",""
"16937-14643","RB","DuJuan","","Harris","9.59999974568685","3","5300","NE@SF","SF","NE","","","",""
"16937-7972","RB","Darren","","Sproles","9.188888549804688","9","5300","PHI@SEA","PHI","SEA","","","",""
"16937-31836","WR","Terrance","","Williams","6.5625","8","5300","BAL@DAL","DAL","BAL","","","",""
"16937-30733","WR","Cordarrelle","","Patterson","6.011110941569011","9","5300","ARI@MIN","MIN","ARI","","","",""
"16937-14349","WR","Jeremy","","Kerley","8.711111280653212","9","5300","NE@SF","SF","NE","","","",""
"16937-52560","WR","Geronimo","","Allison","3.7666667302449546","3","5200","GB@WAS","GB","WAS","","","",""
"16937-29683","WR","Nelson","","Agholor","5.155555725097656","9","5200","PHI@SEA","PHI","SEA","","","",""
"16937-6643","RB","Reggie","","Bush","2.866666793823242","6","5200","BUF@CIN","BUF","CIN","","","",""
"16937-14198","QB","Christian","","Ponder","0","0","5200","NE@SF","SF","NE","","","",""
"16937-6448","TE","Martellus","","Bennett","10.444444444444445","9","5200","NE@SF","NE","SF","","","",""
"16937-6479","WR","Anquan","","Boldin","8.455555386013454","9","5200","JAC@DET","DET","JAC","","","",""
"16937-12550","D","Seattle","","Seahawks","8.666666666666666","9","5200","PHI@SEA","SEA","PHI","","","",""
"16937-29734","RB","Ty","","Montgomery","5.574999809265137","8","5200","GB@WAS","GB","WAS","","","",""
"16937-28080","WR","Devin","","Funchess","6.300000190734863","8","5200","NO@CAR","CAR","NO","","","",""
"16937-6768","WR","Eddie","","Royal","9.885713849748884","7","5200","CHI@NYG","CHI","NYG","","","",""
"16937-6627","WR","Ted","","Ginn Jr.","5.222222222222222","9","5100","NO@CAR","CAR","NO","","","",""
"16937-34295","WR","Breshad","","Perriman","4.911111195882161","9","5100","BAL@DAL","BAL","DAL","","","",""
"16937-14952","K","Dan","","Bailey","9.777777777777779","9","5100","BAL@DAL","DAL","BAL","","","",""
"16937-26458","WR","Tavon","","Austin","8.033333672417534","9","5100","MIA@LA","LA","MIA","","","",""
"16937-12546","D","Arizona","","Cardinals","9.555555555555555","9","5100","ARI@MIN","ARI","MIN","","","",""
"16937-27908","TE","C.J.","","Fiedorowicz","7","9","5100","HOU@OAK","HOU","OAK","","","",""
"16937-47523","WR","Tajae","","Sharpe","5.959999847412109","10","5100","TEN@IND","TEN","IND","","","",""
"16937-40857","RB","Peyton","","Barber","5.279999923706055","5","5100","TB@KC","TB","KC","","","",""
"16937-28095","RB","Thomas","","Rawls","4.800000190734863","2","5100","PHI@SEA","SEA","PHI","Q","Lower leg","",""
"16937-24891","RB","Chris","","Thompson","7.822222391764323","9","5100","GB@WAS","WAS","GB","","","",""
"16937-8803","QB","Chase","","Daniel","-0.019999999552965164","2","5000","PHI@SEA","PHI","SEA","","","",""
"16937-70446","QB","Joe","","Callahan","0","0","5000","PIT@CLE","CLE","PIT","","","",""
"16937-30652","WR","Tanner","","McEvoy","3.22400016784668","5","5000","PHI@SEA","SEA","PHI","","","",""
"16937-28163","QB","Connor","","Cook","0","0","5000","HOU@OAK","OAK","HOU","","","",""
"16937-70464","QB","Josh","","Woodrum","0","0","5000","TEN@IND","IND","TEN","","","",""
"16937-47772","QB","Brandon","","Doughty","0","0","5000","MIA@LA","MIA","LA","","","",""
"16937-43956","QB","David","","Fales","0","0","5000","BAL@DAL","BAL","DAL","","","",""
"16937-26355","QB","Logan","","Thomas","0","0","5000","CHI@NYG","NYG","CHI","","","",""
"16937-45797","QB","Garrett","","Grayson","0","1","5000","NO@CAR","NO","CAR","","","",""
"16937-26141","QB","Ryan","","Nassib","6.71999979019165","1","5000","CHI@NYG","NYG","CHI","","","",""
"16937-29445","QB","Sean","","Mannion","1.2400000095367432","1","5000","MIA@LA","LA","MIA","","","",""
"16937-53331","QB","Taylor","","Heinicke","0","0","5000","ARI@MIN","MIN","ARI","","","",""
"16937-54741","WR","Seth","","Roberts","7.133332994249132","9","5000","HOU@OAK","OAK","HOU","","","",""
"16937-54705","QB","Dustin","","Vaughan","0","0","5000","PIT@CLE","PIT","CLE","","","",""
"16937-28515","QB","Cardale","","Jones","0","0","5000","BUF@CIN","BUF","CIN","","","",""
"16937-31241","WR","Sammie","","Coates","7.222222222222222","9","5000","PIT@CLE","PIT","CLE","","","",""
"16937-6373","QB","Derek","","Anderson","7.506666819254558","3","5000","NO@CAR","CAR","NO","","","",""
"16937-32366","QB","Jameill","","Showers","0","0","5000","BAL@DAL","DAL","BAL","","","",""
"16937-30253","QB","Jeff","","Driskel","0","0","5000","BUF@CIN","CIN","BUF","NA","Coach's decision","",""
"16937-31421","QB","Zach","","Mettenberger","7.028571537562779","7","5000","PIT@CLE","PIT","CLE","","","",""
"16937-33578","RB","Jalen","","Richard","6.1333334181043835","9","5000","HOU@OAK","OAK","HOU","","","",""
"16937-8071","QB","Dan","","Orlovsky","5.519999980926514","2","5000","JAC@DET","DET","JAC","","","",""
"16937-44500","QB","Keith","","Wenning","0","0","5000","BUF@CIN","CIN","BUF","","","",""
"16937-25837","RB","Duke","","Johnson Jr.","8.2","10","5000","PIT@CLE","CLE","PIT","","","",""
